,Issuing Agent,PolicyNum,Product Code,Count_Policy,Base/Rider
1656,60067208,80132803,URC5,1,Rider
1657,60067208,80132803,UL05,1,Base
1658,60067208,80132803,URA5,1,Rider
1659,60032280,80132541,RHS1,1,Rider
1660,60032280,80132541,UL05,1,Base
1661,60032280,80132541,RHB1,1,Rider
1662,60032280,80132541,URC6,1,Rider
1663,60032280,80132541,URA5,1,Rider
1664,60032280,80132541,URC5,1,Rider
1665,60075802,80131765,RHB1,1,Rider
1666,60075802,80131765,URA5,1,Rider
1667,60075802,80131765,URC6,1,Rider
1668,60075802,80131765,UL05,1,Base
1669,60057789,80132313,URC5,1,Rider
1670,60057789,80132313,RHB1,1,Rider
1671,60057789,80132313,URW5,1,Rider
1672,60057789,80132313,URA5,1,Rider
1673,60057789,80132313,UL05,1,Base
1674,60058295,80132522,URC6,1,Rider
1675,60058295,80132522,URC5,1,Rider
1676,60058295,80132522,UL05,1,Base
1677,60058295,80132522,URA5,1,Rider
1678,60058295,80132522,RHB1,1,Rider
1679,69999997,80132111,RHB1,1,Rider
1680,69999997,80132111,URA5,1,Rider
1681,69999997,80132111,RHS1,1,Rider
1682,69999997,80132111,URC5,1,Rider
1683,69999997,80132111,URC6,1,Rider
1684,69999997,80132111,UL05,1,Base
1685,60069367,80132260,URC5,1,Rider
1686,60069367,80132260,URA5,1,Rider
1687,60069367,80132260,RHB1,1,Rider
1688,60069367,80132260,RHS1,1,Rider
1689,60069367,80132260,UL05,1,Base
1690,60070704,80132417,RHB1,1,Rider
1691,60070704,80132417,URC5,1,Rider
1692,60070704,80132417,UL05,1,Base
1693,60070704,80132417,URA5,1,Rider
1694,60070704,80132417,URT5,1,Rider
1695,60070704,80132417,RHS1,1,Rider
1696,60056290,80132055,UL05,1,Base
1697,60033545,80132548,URC6,1,Rider
1698,60033545,80132548,RHS1,1,Rider
1699,60033545,80132548,UL05,1,Base
1700,60033545,80132548,URC5,1,Rider
1701,60033545,80132548,RHB1,1,Rider
1702,60033545,80132548,URA5,1,Rider
1703,60072373,80132716,UL05,1,Base
1704,60072373,80132716,URA5,1,Rider
1705,60074125,80132496,UL05,1,Base
1706,60074125,80132496,RHB1,1,Rider
1707,60074125,80132496,URC5,1,Rider
1708,60074125,80132496,URA5,1,Rider
1709,60074125,80132496,RHS1,1,Rider
1710,60073726,80131660,TL01,1,Base
1711,60071393,80133043,URC5,1,Rider
1712,60071393,80133043,RHB1,1,Rider
1713,60071393,80133043,UL05,1,Base
1714,60071393,80133043,URA5,1,Rider
1715,60074118,80131690,UL05,1,Base
1716,60074118,80131690,RHS1,1,Rider
1717,60074118,80131690,RHB1,1,Rider
1718,60046214,80132236,URC5,1,Rider
1719,60046214,80132236,URC6,1,Rider
1720,60046214,80132236,URT5,1,Rider
1721,60046214,80132236,URA5,1,Rider
1722,60046214,80132236,RHB1,1,Rider
1723,60046214,80132236,UL05,1,Base
1724,60067077,80132954,URC6,1,Rider
1725,60067077,80132954,URC5,1,Rider
1726,60067077,80132954,UL05,1,Base
1727,60067077,80132954,RHB1,1,Rider
1728,60067077,80132954,URA5,1,Rider
1729,60041981,80132588,UL05,1,Base
1730,60041981,80132588,URC5,1,Rider
1731,60041981,80132588,URA5,1,Rider
1732,60074483,80132603,URA5,1,Rider
1733,60074483,80132603,UL06,1,Base
1734,60076127,80132758,UL05,1,Base
1735,60058311,80131913,URC5,1,Rider
1736,60058311,80131913,URA5,1,Rider
1737,60058311,80131913,UL05,1,Base
1738,60058311,80131913,RHB1,1,Rider
1739,60058311,80131913,URC6,1,Rider
1740,60075744,80132976,UL05,1,Base
